,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
10,2020_04_25,-34.6194567,-58.3689219,https://departamento.mercadolibre.com.ar/MLA-784428297-depto-en-el-corazon-de-san-telmo-y-puerto-madero-_JM,Depto En El Corazon De San Telmo Y Puerto Madero!!,Departamento,3000.0,ARS,35,2
12,2020_04_25,-34.6058596,-58.4229046,https://departamento.mercadolibre.com.ar/MLA-784835122-departamento-2-ambientes-hospital-italiano-impecable-_JM,Departamento 2 Ambientes Hospital Italiano - Impecable,Departamento,1500.0,ARS,40,2
13,2020_04_25,-34.5976439,-58.376824,https://departamento.mercadolibre.com.ar/MLA-785200518-departamento-alquiler-temporario-2-ambientes-bano-cocina-_JM,Departamento Alquiler Temporario 2 Ambientes Baño Cocina,Departamento,1900.0,ARS,40,2
23,2020_04_25,-34.6046132,-58.3752266,https://departamento.mercadolibre.com.ar/MLA-788674010-deptos-de-2-amb-33-a-42-m2-ubicacion-excelente-_JM,"Deptos De 2 Amb  33 A 42 M2, Ubicacion Excelente",Departamento,29000.0,ARS,40,2
24,2020_04_25,-34.557911,-58.462919,https://departamento.mercadolibre.com.ar/MLA-788733106-silencioso-200-mts-de-cabildo-2-ambbalcon-a-calle-arbolada-_JM,"Silencioso, 200 Mts De Cabildo 2 Amb.balcón A Calle Arbolada",Departamento,2000.0,ARS,42,2
25,2020_04_25,-34.5660631,-58.4521702,https://departamento.mercadolibre.com.ar/MLA-788835200-increible-vista-_JM,Increible Vista,Departamento,500.0,USD,48,2
33,2020_04_25,-34.6223349,-58.3864236,https://departamento.mercadolibre.com.ar/MLA-791461602-divino-departamento-dueno-directo--_JM,Divino Departamento - Dueño Directo !!,Departamento,38500.0,ARS,50,2
34,2020_04_25,-34.6097082,-58.3903334,https://departamento.mercadolibre.com.ar/MLA-792593689-alquiler-temporario-buenos-aires-a-2-cuadras-de-favaloro-_JM,Alquiler Temporario Buenos Aires A 2 Cuadras De Favaloro,Departamento,2000.0,ARS,30,2
37,2020_04_25,-34.5482144,-58.4570902,https://departamento.mercadolibre.com.ar/MLA-794488414-alquilerdto-2-amb-5-en-nunez-1-dorm-todos-los-amenities-_JM,Alquilerdto. 2 Amb. 5* En Nuñez. 1 Dorm. Todos Los Amenities,Departamento,60.0,USD,45,2
40,2020_04_25,-34.582398,-58.45193,https://departamento.mercadolibre.com.ar/MLA-795433875-departamento-temporario-por-diaminimo-3-nocheswificochera-_JM,"Departamento Temporario Por Dia,minimo 3 Noches,wifi,cochera",Departamento,48000.0,ARS,55,2
