,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,2020_04_25,-38.416097,-63.616672,https://departamento.mercadolibre.com.ar/MLA-745551373-excelente-3-ambtestorre-sur-dorm-en-suite-130-mts-cbtoscochera-fija-_JM,Excelente 3 Ambtes.torre Sur. Dorm En Suite. 130 Mts Cbtos.cochera Fija,Departamento,2300.0,USD,130,3
3,2020_04_25,-34.5982399,-58.409251,https://departamento.mercadolibre.com.ar/MLA-784047054-3-ambientes-balcon-semi-amoblado-4-personas-sin-garantia-_JM,"3 Ambientes Balcon, Semi-amoblado, 4 Personas, Sin Garantia",Departamento,40000.0,ARS,60,3
5,2020_04_25,-34.5902439,-58.3934647,https://departamento.mercadolibre.com.ar/MLA-784175531-excelente-piso-todo-sol-silencioso-inmejorable-recoleta-_JM,Excelente Piso - Todo Sol-silencioso-inmejorable Recoleta,Departamento,950.0,USD,100,3
6,2020_04_25,-34.5900832,-34.5900832,https://departamento.mercadolibre.com.ar/MLA-784178306-alquiler-temporario-2-dorm-balcon-en-palermo-buenos-aires-_JM,"Alquiler Temporario 2 Dorm Balcón En Palermo, Buenos Aires",Departamento,3000.0,ARS,62,3
8,2020_04_25,-34.5880835,-58.4331469,https://departamento.mercadolibre.com.ar/MLA-784428267-nuevo-depto-corazon-de-palermo-soho-desayuno-street-park-_JM,Nuevo Depto! Corazon De Palermo Soho. Desayuno & Street Park,Departamento,5000.0,ARS,70,3
11,2020_04_25,-34.5887745,-58.4252602,https://departamento.mercadolibre.com.ar/MLA-784428312-plaza-armenia-corazon-de-palermo-soho-increible-vista-_JM,Plaza Armenia & Corazon De Palermo Soho. Increible Vista!!,Departamento,5000.0,ARS,55,3
17,2020_04_25,47.7510741,-120.7401385,https://departamento.mercadolibre.com.ar/MLA-786269927-jovenes-deptos-compartido-10k-mensuales-servicios-incluidos-_JM,Jovenes Deptos Compartido $10k Mensuales Servicios Incluidos,Departamento,333.0,ARS,50,3
29,2020_04_25,-34.6056804,-58.4058775,https://departamento.mercadolibre.com.ar/MLA-790927172-departamento-alquiler-3-amb-sin-garantia-_JM,Departamento Alquiler  3 Amb Sin Garantía,Departamento,33000.0,ARS,90,3
46,2020_04_25,-34.6048257,-58.4226562,https://departamento.mercadolibre.com.ar/MLA-798620206-alquilo-departamento-3-ambientes-muy-buena-ubicacion-_JM,"Alquilo Departamento 3 Ambientes, Muy Buena Ubicacion",Departamento,2300.0,ARS,57,3
48,2020_04_25,-34.6008074,-58.3711362,https://departamento.mercadolibre.com.ar/MLA-799388666-departamento-alquiler-temporario-centro-buenos-aires-capital-_JM,Departamento Alquiler Temporario Centro Buenos Aires Capital,Departamento,2200.0,ARS,37,3
50,2020_04_25,25.9932364,-80.1177772,https://departamento.mercadolibre.com.ar/MLA-801551176-increible-vista-al-mar-miami-playa-y-pileta-climatizada-_JM,"Increible Vista Al Mar Miami, Playa Y Pileta Climatizada",Departamento,10.0,USD,90,3
51,2020_04_25,-34.6239725,-58.391441,https://departamento.mercadolibre.com.ar/MLA-801586510-alq-temp-dpto-equip-centro-cap-fed-bs-as-x-dia-sem-mes-dueno-_JM,Alq Temp Dpto Equip Centro Cap Fed Bs As X Dia Sem Mes Dueno,Departamento,1800.0,ARS,64,3
53,2020_04_25,-34.6103003,-58.3934682,https://departamento.mercadolibre.com.ar/MLA-802566023-residencia-para-hombres-de-18-a-30-anos-_JM,Residencia Para Hombres De 18 A 30 Años,Departamento,6500.0,ARS,100,3
60,2020_04_25,-34.5485916,-58.4682202,https://departamento.mercadolibre.com.ar/MLA-805947065-alquiler-de-habitaciones-para-2-3-y-4-pers-extranjeros-_JM,"Alquiler De Habitaciones Para 2, 3 Y 4 Pers. /extranjeros",Departamento,500.0,USD,160,3
67,2020_04_25,-34.5919776,-58.4050384,https://departamento.mercadolibre.com.ar/MLA-807007159-departamento-alquiler-temporal-barrio-recoleta-caba-_JM,Departamento Alquiler Temporal. Barrio Recoleta Caba,Departamento,3000.0,ARS,58,3
86,2020_04_25,-34.5919775,-58.4050383,https://departamento.mercadolibre.com.ar/MLA-812722128-departamento-alquiler-temporal-recoleta-laprida-y-arenales-_JM,Departamento Alquiler Temporal  Recoleta Laprida Y Arenales,Departamento,3000.0,ARS,58,3
88,2020_04_25,-34.5922797,-58.3946296,https://departamento.mercadolibre.com.ar/MLA-813866339-departamento-en-alquilera-zona-recoleta-centro-_JM,"Departamento En Alquilera Zona Recoleta , Centro",Departamento,58000.0,ARS,98,3
95,2020_04_25,-34.5865386,-58.3950344,https://departamento.mercadolibre.com.ar/MLA-816689710-alquiler-temporario-depto-3-amb-en-palermo-precio-semanal-_JM,Alquiler Temporario Depto 3 Amb En Palermo Precio Semanal,Departamento,18000.0,ARS,78,3
100,2020_04_25,-34.5799012,-58.423575,https://departamento.mercadolibre.com.ar/MLA-818230506-departamento-3-ambientes-sobre-av-santa-fe-4400-palermo-_JM,Departamento 3 Ambientes Sobre Av. Santa Fe 4400 Palermo,Departamento,35000.0,ARS,82,3
101,2020_04_25,-34.6337353,-58.4748837,https://departamento.mercadolibre.com.ar/MLA-818707334-departamento-3-ambientes-excelente-estado-muy-luminoso-_JM,"Departamento 3 Ambientes, Excelente Estado, Muy Luminoso",Departamento,17500.0,ARS,65,3
106,2020_04_25,-34.6059668,-34.6059668,https://departamento.mercadolibre.com.ar/MLA-819453917-alquiler-temporario-loft-lujo-5p-hospital-italiano-almagro-_JM,Alquiler Temporario Loft Lujo 5/p Hospital Italiano Almagro,Departamento,2416.0,ARS,95,3
107,2020_04_25,-34.5723368,-58.4308013,https://departamento.mercadolibre.com.ar/MLA-819698422-baez-ortega-y-gaset-3-amb-cbalcon-impecable-_JM,Baez & Ortega Y Gaset  3 Amb C/balcon Impecable,Departamento,65.0,USD,74,3
108,2020_04_25,-34.6240844,-58.3898891,https://departamento.mercadolibre.com.ar/MLA-821602190-departamentos-alquil-temporario-centro-cap-fed-bs-as-dia-mes-_JM,Departamentos Alquil Temporario Centro Cap Fed Bs As Dia Mes,Departamento,2100.0,ARS,64,3
117,2020_04_25,-34.5864481,-58.3952121,https://departamento.mercadolibre.com.ar/MLA-824206014-exclusivo-departamento-2-dormitorios-seguridad-24-hs-_JM,"Exclusivo Departamento 2 Dormitorios, Seguridad 24 Hs",Departamento,120.0,USD,130,3
126,2020_04_25,-34.5901891,-58.4103563,https://departamento.mercadolibre.com.ar/MLA-827088941-vende-dueno-alto-palermo-semipiso-antiguo-3-ambientes-_JM,Vende Dueño  Alto Palermo Semipiso Antiguo 3 Ambientes.,Departamento,165000.0,ARS,50,3
134,2020_04_25,-34.591546,-58.4010437,https://departamento.mercadolibre.com.ar/MLA-827655932-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,45000.0,ARS,117,3
135,2020_04_25,-38.0017495,-57.5426875,https://departamento.mercadolibre.com.ar/MLA-827867012-dueno-directo-alquila-departamento-3-ambientes-tribunales-_JM,Dueño Directo Alquila Departamento 3 Ambientes Tribunales,Departamento,50.0,ARS,85,3
144,2020_04_25,-34.5544721,-58.4639943,https://departamento.mercadolibre.com.ar/MLA-829926330-alq-temp-dep-3-amb-nunezbelgr-6pers-scabildo-oportunidad-_JM,"Alq Temp Dep 3 Amb, Nuñez/belgr 6pers-s/cabildo-oportunidad",Departamento,2000.0,ARS,50,3
161,2020_04_25,-34.6355314,-58.5248138,https://departamento.mercadolibre.com.ar/MLA-833084289-alquiler-por-dia-departamento-a-estrenar-_JM,Alquiler Por Dia. Departamento A Estrenar,Departamento,2500.0,ARS,70,3
168,2020_04_25,-34.5985264,-58.4404789,https://departamento.mercadolibre.com.ar/MLA-834191610-departamento-alquiler-temporal-zona-palermo-wit-_JM,Departamento Alquiler Temporal Zona Palermo Wit,Departamento,2900.0,ARS,90,3
173,2020_04_25,-34.5636819,-58.4424914,https://departamento.mercadolibre.com.ar/MLA-834471657-dpto-apto-profesional-zabala-1700-y-avluis-ma-campos-3-am-_JM,Dpto Apto Profesional Zabala 1700 Y Av.luis Ma. Campos- 3 Am,Departamento,25000.0,ARS,55,3
178,2020_04_25,-34.622968,-58.3966526,https://departamento.mercadolibre.com.ar/MLA-835090157-hermoso-departamento-de-3-ambientes-con-pileta-_JM,Hermoso Departamento De 3 Ambientes Con Pileta,Departamento,35000.0,ARS,60,3
184,2020_04_25,-34.8315657,-55.2120456,https://departamento.mercadolibre.com.ar/MLA-835622828-las-canitas-2-dorm-2-banos-_JM,Las Cañitas 2 Dorm 2 Baños,Departamento,7000.0,ARS,85,3
190,2020_04_25,-34.5877183,-58.3908458,https://departamento.mercadolibre.com.ar/MLA-836273656-recoleta-piso-de-3-amb-balcon-vista-abierta-_JM,Recoleta Piso De 3 Amb * Balcon * Vista Abierta,Departamento,1800.0,USD,116,3
192,2020_04_25,-34.555907,-58.448381,https://departamento.mercadolibre.com.ar/MLA-836443815-alq-temporario-3-amb-tot-equip-zona-belgrano-_JM,"Alq. Temporario , 3 Amb Tot Equip. Zona Belgrano",Departamento,65000.0,ARS,60,3
202,2020_04_25,-34.629733,-58.450726,https://departamento.mercadolibre.com.ar/MLA-837301242-departamento-2-amb-sum-pileta-caballito-con-renta-_JM,"Departamento 2 Amb Sum Pileta, Caballito Con Renta",Departamento,219000.0,USD,77,3
216,2020_04_25,-34.5990535,-58.4397944,https://departamento.mercadolibre.com.ar/MLA-838216003-departamento-en-alquiler-temporal-palermo-quin-_JM,Departamento En Alquiler Temporal Palermo Quin ,Departamento,2900.0,ARS,90,3
221,2020_04_25,-34.5771469,-58.4011905,https://departamento.mercadolibre.com.ar/MLA-838422326-palacio-alcorta-3-ext-terraza-parrilla-coch-_JM,Palacio Alcorta- 3° Ext Terraza Parrilla Coch,Departamento,2000.0,USD,147,3
223,2020_04_25,-34.6058675,-58.4266298,https://departamento.mercadolibre.com.ar/MLA-838642144-venta-departamento-almagro-oportunidad-inversores-gran-renta-_JM,Venta Departamento  Almagro Oportunidad Inversores Gran Renta,Departamento,105000.0,USD,42,3
230,2020_04_25,-34.6047797,-58.4260569,https://departamento.mercadolibre.com.ar/MLA-839364744-alquiler-temporal-departamento-en-almagro-_JM,Alquiler Temporal Departamento En Almagro,Departamento,1300.0,ARS,55,3
232,2020_04_25,-34.5888532,-58.3849402,https://departamento.mercadolibre.com.ar/MLA-839487437-duplex-recoleta-posadas-_JM,Duplex Recoleta Posadas,Departamento,78000.0,ARS,85,3
241,2020_04_25,-34.5550372,-58.4693197,https://departamento.mercadolibre.com.ar/MLA-840195727-amplio-3-amb-con-parrillaprecio-x-dia-1o-2-per-consultar-_JM,Amplio 3 Amb. Con Parrilla.precio X Dia 1o 2 Per + Consultar,Departamento,2920.0,ARS,90,3
